,Publisher,Title,URL,Date,2022-12-07,2022-12-09,2022-12-10,2022-12-11,2022-12-12,2022-12-13,2022-12-14,Afghanistan,Bangui,Bashar al-Assad,Britain,China,Dmitry Peskov,Dmitry Utkin,Donbas,Emmanuel Macron,France,Germany,Hungary,Iran,Joe Biden,Kadiivka,Kharkiv,Kyiv,Libya,Luhansk,Mali,Moscow,Nigeria,Odesa,Poland,Prigozhin,Russia,Russian Federation,Saint Petersburg,Saudi Arabia,Serhiy Gaidai,St Petersburg,St. Petersburg,Sudan,Syria,U.S.,UK,US,Ukraine,Ukrainian,United States,Vladimir Putin,Volodymyr Zelensky,Washington,Yevgeny Nuzhin,Yevgeny Prigozhin,colonies
22,Business Insider,Mysterious aircraft dropped bombs near Russia-linked Wagner Group base - Business Insider,https://www.businessinsider.com/mysterious-aircraft-bombed-near-russia-linked-wagner-group-mercenaries-base-2022-11,"Tue, 29 Nov 2022 08:00:00 GMT",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
23,CNN,"December 11, 2022 Russia-Ukraine news - CNN",https://www.cnn.com/europe/live-news/russia-ukraine-war-news-12-11-22/h_fb997c5874a992ecd687741ba36036a8,"Sun, 11 Dec 2022 18:24:00 GMT",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
24,Task & Purpose,"No, a former Marine general is not working for an infamous Russian mercenary group - Task & Purpose",https://taskandpurpose.com/news/marine-general-wagner-group-russia-ukraine/,"Tue, 29 Nov 2022 08:00:00 GMT",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0
25,The Globe and Mail,"Ukraine strike hits Wagner group headquarters in Luhansk region, official says - The Globe and Mail",https://www.theglobeandmail.com/world/article-ukraine-strike-hits-wagner-group-headquarters-in-luhansk-region/,"Sun, 11 Dec 2022 21:10:06 GMT",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,Worldcrunch,The Prigozhin Method: Inside Wagner Group's Russian Prison Recruitment - Worldcrunch,https://worldcrunch.com/war-in-ukraine/prigozhin-wagner-group-prisons,"Sun, 20 Nov 2022 08:00:00 GMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Newsweek,Fact Check: Did Wagner Group Founder Serve George W. Bush At Putin Dinner? - Newsweek,https://www.newsweek.com/fact-check-did-wagner-group-founder-serve-george-w-bush-putin-dinner-1762141,"Thu, 24 Nov 2022 08:00:00 GMT",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0
28,Newsroom Odisha,Wagner Group mercenary videos top 1 billion views on TikTok - Newsroom Odisha,https://newsroomodisha.com/wagner-group-mercenary-videos-top-1-billion-views-on-tiktok/,"Thu, 01 Dec 2022 16:44:48 GMT",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0
29,TVP World,Wagner group trades diamonds through an African company: Belgian media - TVP World,https://tvpworld.com/64871539/wagner-group-trades-diamonds-through-an-african-company-belgian-media,"Fri, 02 Dec 2022 13:09:59 GMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
30,Newsweek,Russian Commander 'Executed' Following Mass Desertions of His Unit: Report - Newsweek,https://www.newsweek.com/russian-commander-killed-executed-desertions-unit-donbas-1764622,"Mon, 05 Dec 2022 08:00:00 GMT",0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
31,Yahoo News,"Chief of Wagner Group hands over ""blood-stained"" sledgehammer to EU Parliament - Yahoo News",https://news.yahoo.com/chief-wagner-group-hands-over-081141364.html,"Thu, 24 Nov 2022 08:00:00 GMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1
